text,trans
プロデューサーさま、お化粧のレッスンを\r\n二週間後にしておきたいのですが……,"프로듀서님, 화장의 레슨을\r\n2주 뒤로 해 두고 싶습니다만……"
二週間後に、お休みを頂戴できますでしょうか……,"2주 후에, 휴가를 받을 수 있겠습니까……"
プロデューサー、\r\nもっと歌の技術を磨きたいわ,"프로듀서, \r\n좀 더 노래의 기술을 연마하고 싶어"
今週はボーカルレッスンをしましょう！,이번 주는 보컬 레슨을 하자!
それでこそよ、プロデューサー！,"그거야, 프로듀서!"
そう……仕方がないわね,그래…… 어쩔 수 없지
ふぅ……けっこう歌えたわね,후우…… 꽤 노래했어
発声がよくなった感じがするわ\r\n約束、守ってくれて嬉しいわ,"발성이 좋아진 것 같은 느낌이 들어\r\n약속, 지켜줘서 기뻐"
やっぱり歌の技術が磨きたかったわね……,역시 노래의 기술을 연마하고 싶었어……
いい？　今度はちゃんと約束を守るのよ？,알았지? 다음엔 제대로 약속 지켜야 해?
思うような成果は出なかったわ……,생각한 것 같은 성과는 나오지 않았어……
でも、これを次につなげていくわ！,"하지만, 이걸 다음으로 연결해 갈 거야!"
トップを目指すには、ダンスの実力がまだまだだわ……,"톱을 노리기에는, 춤 실력이 아직 부족해……"
ダンスレッスンをしたいから、\r\n今週付き合って頂戴、プロデューサー！,"댄스 레슨을 하고 싶으니까,\r\n이번 주에 함께 해줘, 프로듀서!"
ふぅ、いい汗をかいたわね,"후우, 기분 좋게 땀을 흘렸어"
ダンスのキレが良くなった気がするの\r\nありがとう、プロデューサー,"댄스 실력이 더 좋아진 느낌이 들어\r\n고마워, 프로듀서"
ダンスで確認したいところがあったのだけど……,댄스에서 확인하고 싶은 부분이 있었는데……
次は約束を忘れないで頂戴,다음 번에는 약속한 걸 잊지 말아 줬으면 해
アイドルとして\r\n自分をより美しく見せることも大事だと思うの,아이돌로서\r\n자신을 보다 아름답게 보이는 것도 중요하다고 생각해
今週はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"이번 주에는 비주얼 레슨을\r\n하고 싶은데, 괜찮을까?"
ねぇ、プロデューサー。私をよく見て頂戴,"저기, 프로듀서. 나를 잘 봐줬으면 해"
また一段と美しくなれたでしょう？\r\nこれもプロデューサーのお陰よ,또 한층 더 아름답게 됐지?\r\n이것도 프로듀서 덕분이야
もう！　次の仕事に備えてポーズとか研究したかったのに！,정말! 다음 일을 대비해서 포즈라든가 연구하고 싶었는데!
次は必ず約束を守りなさい！,다음에는 반드시 약속 지켜야 해!
適度な休息も、トレーニングのうちだと思うわ,"적당한 휴식도, 트레이닝의 일부라고 생각해"
今週はお休みをもらってもいいかしら？,이번 주에 휴가를 받아도 괜찮을까?
ゆっくり休んで、リフレッシュできたわ,"푹 쉰 덕에, 리프레쉬할 수 있었어"
また頑張るわよ！,다시 열심히 하자!
ここで身体を休めるはずだったのに……,이쯤에서 몸을 쉬게 할 예정이었는데……
約束を守ってもらわないと、予定も組めないわ\r\n今度からはちゃんと守るのよ？,"약속을 지키지 않으면, 예정도 짤 수 없어\r\n다음부터는 잘 지키는 거다?"
一週間後はボーカルレッスンをしましょう！,일주일 후에 보컬 레슨을 하도록 하자!
ダンスレッスンをしたいから、\r\n一週間後付き合って頂戴、プロデューサー！,"댄스 레슨을 하고 싶으니까, \r\n일주일 후에 함께 해줘, 프로듀서!"
一週間後はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"일주일 후에 비주얼 레슨을\r\n하고 싶은데, 괜찮을까?"
一週間後はお休みをもらってもいいかしら？,일주일 후에 휴가를 받아도 괜찮을까?
二週間後はボーカルレッスンをしましょう！,2주일 후에 보컬 레슨을 하도록 하자!
ダンスレッスンをしたいから、\r\n二週間後付き合って頂戴、プロデューサー！,"댄스 레슨을 하고 싶으니까, \r\n2주일 후에 함께 해줘, 프로듀서!"
二週間後はビジュアルレッスンを\r\nしたいのだけど、いいかしら？,"2주일 후에 비주얼 레슨을\r\n하고 싶은데, 괜찮을까?"
二週間後はお休みをもらってもいいかしら？,2주일 후에 휴가를 받아도 괜찮을까?
甘奈ね、自分の歌い方で\r\n少し気になってるところがあるんだよね,"아마나, 노래 부를 때\r\n조금 신경쓰이는 부분이 있어"
今週にボーカルレッスン、頼んでいいかな,"이번 주에 보컬 레슨, 부탁해도 될까?"
さっすがプロデューサーさん！\r\n話が分かるー☆,과연 프로듀서님!\r\n말이 통한다니까ー☆
そっかー。それじゃしょうがないよねー…\r\n無理言っちゃって、ごめんね！,"그런가ー. 그러면 어쩔 수 없지ー…\r\n무리하게 부탁해서, 미안해!"
今日のレッスンで\r\nどうやって歌ったらいいかよくわかったよ,오늘 레슨으로\r\n어떻게 노래해야 할지 잘 알았어
ありがとねっ、プロデューサーさん,"고마워, 프로듀서님"
やっぱり自主レッスンだと、\r\n気になるところは解決できないなぁ,"역시 스스로 레슨하면, \r\n신경쓰이는 부분은 해결하기 힘들구나"
次はしっかり約束守ってね\r\nプロデューサーさん,다음에는 확실히 약속 지키라구\r\n프로듀서님
ごめんね、プロデューサーさん\r\n無理を聞いてくれたのに……,"미안해, 프로듀서님\r\n무리한 부탁인데도 들어줬는데……"
次は応えられるようにがんばるからね！,다음에는 답할 수 있도록 노력할 테니까!
プロデューサーさん\r\nどうしてもできないステップがあってね,프로듀서님\r\n아무리 해도 할 수 없는 스텝이 있는데
今週にダンスレッスンお願いできる？,이번 주에 댄스 레슨 부탁해도 될까?
バッチリ、キレのあるステップが\r\nできるようになったんだ☆,"확실히, 깔끔한 스텝을\r\n할 수 있게 되었어☆"
甘奈、ダンスちょっと上手になったかも\r\nプロデューサーさん、ありがと,"아마나, 댄스를 조금 잘하게 되었을지도\r\n프로듀서님, 고마워"
自分で練習もしてみたけど……\r\n鏡とか見てもっとチェックしたかったなー,스스로 연습도 해 봤는데……\r\n거울 같은 걸로 보고 좀 더 체크하고 싶었어ー
次は予定、\r\nしっかり覚えててくれると嬉しいな,"다음에는 예정을, \r\n확실히 기억해준다면 기쁠까나"
甘奈、この前雑誌読んでて、ちょーかわいー\r\nメイク思いついちゃったんだ！,"아마나, 저번에 잡지를 읽다가, 초ー귀여운ー\r\n메이크업 생각났었다구!"
試してみたいから\r\n今週にビジュアルレッスンお願いしたいな,시험해 보고 싶으니까\r\n이번 주에 비주얼 레슨 부탁해도 될까?
思いついたメイクを試してみたらね\r\nスゴくいい感じだったんだよね！,생각난 메이크업 해 보니까\r\n엄청 좋은 느낌이었다구!
今度プロデューサーさんにも見てもらいたいな\r\n約束守ってくれて、ありがとねっ,"담번에 프로듀서님께도 보여주고 싶어\r\n약속 지켜줘서, 고마워"
うーん、あのメイク\r\nどうやったらモノにできたのかな～,"으ー음, 그 메이크업\r\n어떻게 하면 완성할 수 있었을까나~"
ちょっと残念だったかな～,조금 유감이었는걸~
プロデューサーさん！\r\nどーしても外せない用事が出来ちゃって……,프로듀서님!\r\n아무래도 뺄 수 없는 일이 생겨서……
今週ってお休みもらえたりするかな,이번 주는 휴가 받을 수 있을까
お休みもらえたおかげで、\r\nしっかりと予定が守れたよー,"휴가를 받게 되어서, \r\n제대로 예정을 지킬 수 있었어ー"
お陰で甘奈、頑張れるっ！\r\nありがとー☆,"덕분에 아마나, 열심히 할 수 있어! \r\n고마워ー☆"
お仕事だもん、仕方ないよね……,"일 때문이라면, 어쩔 수 없네……"
でも次はよろしくね\r\nプロデューサーさん,그래도 다음은 잘 부탁해\r\n프로듀서님
一週間後にボーカルレッスン、頼んでいいかな,"일주일 후에 보컬 레슨, 부탁해도 될까?"
一週間後にダンスレッスンお願いできる？,"일주일 후에 댄스 레슨, 부탁해도 될까?"
試してみたいから\r\n一週間後にビジュアルレッスンお願いしたいな,"한번 해 보고 싶은데,\r\n일주일 후에 비주얼 레슨, 부탁해도 될까?"
一週間後ってお休みもらえたりするかな,일주일 후에 휴가 받을 수 있을까
二週間後にボーカルレッスン、頼んでいいかな,"2주일 후에 보컬 레슨, 부탁해도 될까?"
二週間後にダンスレッスンお願いできる？,"2주일 후에 댄스 레슨, 부탁해도 될까?"
試してみたいから\r\n二週間後にビジュアルレッスンお願いしたいな,"한번 해 보고 싶은데,\r\n2주일 후에 비주얼 레슨, 부탁해도 될까?"
二週間後ってお休みもらえたりするかな,2주일 후에 휴가 받을 수 있을까
プロデューサーさん……\r\n甜花……もっと大きい声、出せるように……なりたい……,"프로듀서님……\r\n텐카…… 좀 더 큰 소리, 낼 수 있도록…… 되고 싶어……"
だから、今週……歌のレッスン……したい……,"그러니까, 이번 주…… 노래 레슨…… 하고 싶어……"
にへへ……うれしい……,니헤헤……기뻐……
わかった……がまん……するね……,알겠어…… 참을……게……
歌うの……楽しいね……\r\n声も、大きくなった……気がする……,"노래하는거…… 즐겁네…… \r\n소리도, 커진……느낌이 들어……"
にへへ……プロデューサーさん、ありがとう……,"니헤헤…… 프로듀서님, 고마워……"
プロデューサーさん……ボーカルレッスンは……？,프로듀서님…… 보컬 레슨은……?
甜花……のど飴……たくさんなめたのに……,텐카…… 목캔디…… 잔뜩 먹었는데……
あ、あれ……？　こうじゃ、ない……？,"어, 어라……? 이게, 아냐……?"
あう……ぜんぜん……ダメだった……\r\n次はできるように、するね……,"아우…… 전혀…… 못했다……\r\n다음엔 잘 하도록, 할게……"
甜花……もっといい動きが、できるようになれば……\r\nみんなにも……迷惑、かけない……,"텐카…… 좀 더 잘 움직일 수, 있게 된다면……\r\n모두에게도…… 민폐, 안될 텐데……"
今週はダンスレッスンが……いいな……,이번 주는 댄스 레슨이…… 좋겠는데……
うん……甜花、ダンス……\r\nうまくなった……たぶん……,"응…… 텐카, 댄스……\r\n좋아졌어…… 아마……"
プロデューサーさんの、おかげ……ありがとう……,"프로듀서님의, 덕분이야…… 고마워……"
今日……ダンスレッスンじゃ……なかったっけ……,오늘…… 댄스 레슨……아니었나……
甜花……踊る準備、してたんだけど……\r\n次はちゃんと……入れておいてね……,"텐카…… 춤출 준비, 했는데……\r\n다음에는 꼭, 부탁해……"
塗る？　付ける？　プロデューサーさん……\r\nメイクって、どうやるんだろう……,"바르고? 붙이고? 프로듀서님…… \r\n메이크업은, 어떻게 하는 걸까……"
知らないと……ダメだよね……\r\n今週に……ビジュアルレッスン……させて……,모르고 있으면…… 안 되겠지……\r\n이번 주에…… 비주얼 레슨…… 시켜줘……
これは……付けるものなんだ……\r\nこれで……甜花も、なーちゃんみたいに……,"이건…… 붙이는 거구나……\r\n이걸로…… 텐카도, 나쨩처럼……"
プロデューサーさん……約束守ってくれて……\r\nありがとう……,프로듀서님…… 약속 지켜줘서……\r\n고마워……
ビジュアルレッスン……無くなっちゃったんだ……,비주얼 레슨…… 없어졌던 거구나……
メイクができなくて……また迷惑かけちゃう……\r\nプロデューサーさん……次はきっと、ね……,메이크업 잘 못해서…… 또 폐를 끼치겠어……\r\n프로듀서님…… 다음에는 꼭……
プロデューサーさん……えっと……\r\n甜花……お昼寝をいっぱいしたくて……,프로듀서님…… 저기…… \r\n텐카…… 낮잠 잔뜩 자고 싶어서……
お休みが欲しいんだけど……\r\n今週って……ダメかな……？,휴가를 받고 싶은데…… \r\n이번 주에…… 안될까……?
お休みで……いっぱい、お昼寝した……\r\n充電、完了……！,"휴가에…… 잔뜩, 낮잠 잤어…… \r\n충전, 완료……!"
甜花……また頑張る、ね……,텐카…… 다시 힘낼게……
え……お休み、ないんだ……\r\nお昼寝の道具……準備してたのに……,"에……휴가, 아니구나……\r\n낮잠 도구…… 준비했는데……"
お休み……忘れないでほしい、です……,"휴가…… 잊지 말아줬으면 해, 요……"
だから、一週間後……歌のレッスン……したい……,"그러니까, 일주일 뒤…… 노래 레슨…… 하고 싶어……"
一週間後はダンスレッスンが……いいな……,일주일 뒤에 댄스 레슨이…… 좋은데……
知らないと……ダメだよね……\r\n一週間後に……ビジュアルレッスン……させて……,모르고 있으면…… 안 되겠지……\r\n일주일 뒤에…… 비주얼 레슨…… 시켜줘……
お休みが欲しいんだけど……\r\n一週間後って……ダメかな……？,휴가를 받고 싶은데…… \r\n일주일 뒤에…… 안될까……?
だから、二週間後……歌のレッスン……したい……,"그러니까, 이주일 뒤…… 노래 레슨…… 하고 싶어……"
二週間後はダンスレッスンが……いいな……,이주일 뒤에 댄스 레슨이…… 좋은데……
知らないと……ダメだよね……\r\n二週間後に……ビジュアルレッスン……させて……,모르고 있으면…… 안되겠지……\r\n이주일 뒤에…… 비주얼 레슨…… 시켜줘……
お休みが欲しいんだけど……\r\n二週間後って……ダメかな……？,휴가를 받고 싶은데…… \r\n이주일 뒤에…… 안될까……?
あーあーあーあーあー♪\r\n声……出てます？,아~아~아~아~아~♪\r\n목소리…… 잘 나오나요?
私、もうちょっと練習したくて……\r\n今週にボーカルレッスンを入れていただけませんか？,"저, 좀 더 연습하고 싶어서……\r\n이번 주에 보컬 레슨을 잡아주실 수 있나요?"
わぁ、ありがとうございます♪\r\nプロデューサーさん,"와, 감사합니다♪\r\n프로듀서님"
まあ、そうなんですね……、いえ\r\n私が急に言い出したことですから、お気になさらず,"이런, 그렇군요…… 아뇨\r\n제가 갑자기 말을 꺼냈으니까요, 신경 쓰지 마세요"
あーあーあーあーあー♪\r\nうん、ばっちりです～,"아~아~아~아~아~♪\r\n응, 좋아졌네요~"
プロデューサーさん、レッスンを入れてくださって\r\nありがとうございました♪,"프로듀서님, 레슨 잡아주셔서\r\n감사합니다♪"
あら？　今日はボーカルレッスンの日……？,어라? 오늘은 보컬 레슨 날……?
ふふ、プロデューサーさんだって忘れることもありますよね\r\nじゃあ、河原で歌ってきましょう♪,"후후, 프로듀서님도 잊어버리는 일이 있군요\r\n그럼, 강변에서 노래할게요♪"
あら、せっかくプロデューサーさんに\r\nスケジュール合わせてもらったのに……,"어라, 모처럼 프로듀서님이\r\n스케줄을 맞춰주셨는데……"
ごめんなさい、プロデューサーさん\r\n私、今度はもっと頑張りますね？,"죄송해요, 프로듀서님\r\n저, 이번엔 좀 더 노력할게요"
えいっ、……きゃっ！\r\nなかなか、身体が上手く動かないんです……,"에잇, ……꺄!\r\n좀처럼, 몸이 잘 움직이지 않네요……"
私が足を引っ張るわけにはいかないですから\r\n今週にダンスレッスンをさせてもらえませんか？,제가 발목을 잡을 수는 없으니\r\n이번 주 댄스 레슨을 받을 수 있게 해주시겠어요?
ふうっ……あ、プロデューサーさん！\r\nレッスン、すごく調子いいんですよ,"후우…… 아, 프로듀서님!\r\n레슨, 굉장히 컨디션이 좋아요"
プロデューサーさんが、\r\nスケジュール調整してくれたおかげですね,프로듀서님이 \r\n스케줄을 조정해주신 덕분이에요
あらら、今日はダンスレッスンがないんですか？,"어라, 오늘은 댄스 레슨이 없나요?"
……いえ、気にしないでください、プロデューサーさん\r\nかわりに他のお稽古ができますし……ね？,"……아뇨, 신경쓰지 마세요, 프로듀서님\r\n대신 다른것을 배울 수 있으니까요……네?"
きれいなお化粧って、\r\nすごく繊細な技術に支えられているんですよね,예쁜 화장이란\r\n굉장히 섬세한 기술이 받쳐주고 있는 거지요
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、今週にどうでしょうか？,"저, 굉장히 흥미가 있어서…… 비주얼 레슨을\r\n받고 싶은데, 이번 주에 어떨까요?"
ふふ、お化粧ってとっても奥深いんですね,"후후, 화장이란 정말로 심오한 거네요"
これで少しは綺麗になれちゃうかも……なんて,이걸로 조금은 예쁘게 될 수 있을지도…… 막 이래
プロデューサーさん、\r\n今日何かお約束してませんでした？,프로듀서님\r\n오늘 뭔가 약속하지 않으셨나요?
ふふ……思い出してくれました？\r\nじゃあ、もう忘れないように指切りしましょう,"후후……생각나셨나요?\r\n그럼, 이제 잊지 않도록 손가락 걸어요"
お休みなんて、言い出せる立場ではないんですけど……,휴가라는 걸 말할 입장은 아니지만……
もし、スケジュールに余裕があれば、\r\n今週に休ませていただいてもいいですか？,"혹시, 스케줄에 여유가 있다면\r\n이번 주에 쉬어도 괜찮을까요?"
久しぶりに雑貨屋巡りができました～\r\nプロデューサーさんのおかげです,오랜만에 잡화점들을 순회했어요~ \r\n프로듀서님 덕분이에요
いろんな材料も仕入れたんですよ\r\n次の衣装にも使っちゃおうかな♪,여러가지 재료도 샀답니다~\r\n다음 의상에도 써볼까♪
私、もうちょっと練習したくて……\r\n一週間後にボーカルレッスンを入れていただけませんか？,"저, 좀 더 연습 하고싶어서……\r\n일주일 뒤에 보컬 레슨을 잡아주실 수 있나요?"
私が足を引っ張るわけにはいかないですから\r\n一週間後にダンスレッスンをさせてもらえませんか？,제가 발목을 잡을 수는 없으니\r\n일주일 뒤에 댄스 레슨을 받을 수 있게 해주시겠어요?
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、一週間後にどうでしょうか？,"저, 굉장히 흥미가 있어서…… 비주얼 레슨을\r\n받고 싶은데, 일주일 뒤에 어떨까요?"
もし、スケジュールに余裕があれば、\r\n一週間後に休ませていただいてもいいですか？,혹시 스케줄에 여유가 있다면\r\n일주일 뒤에 쉬어도 괜찮을까요?
私、もうちょっと練習したくて……\r\n二週間後にボーカルレッスンを入れていただけませんか？,"저, 좀 더 연습 하고싶어서……\r\n2주일 뒤에 보컬 레슨을 잡아주실 수 있나요?"
私が足を引っ張るわけにはいかないですから\r\n二週間後にダンスレッスンをさせてもらえませんか？,제가 발목을 잡을 수는 없으니\r\n2주일 뒤에 댄스 레슨을 받을 수 있게 해주시겠어요?
私、とっても興味があって……ビジュアルレッスンを\r\nしてみたいんですが、二週間後にどうでしょうか？,"저, 굉장히 흥미가 있어서…… 비주얼 레슨을\r\n받고 싶은데, 2주일 뒤에 어떨까요?"
もし、スケジュールに余裕があれば、\r\n二週間後に休ませていただいてもいいですか？,혹시 스케줄에 여유가 있다면\r\n2주일 뒤에 쉬어도 괜찮을까요?
いえ、勝手なことを言ってごめんなさい……,"아뇨, 멋대로 말을 해서 죄송합니다……"
ちょっと残念ですけど、\r\nまた余裕のある時にお休み取らせてください♪,조금 아쉽지만\r\n다시 여유가 있을 때 쉬게 해주세요♪
今週少しお休みしてもいいですか？,이번 주에 잠깐 쉬어도 될까요?
ふぅ\r\n終わりましたぁ,후우\r\n끝났어요
むんっ,무웅
お疲れ様、真乃,"수고했어, 마노"
ラジオや写真撮影よりも、緊張しました……,"라디오나 사진 촬영보다, 긴장했어요……"
でも、充実した顔をしてるな,"그래도, 만족한 얼굴이구나"
ほわ……そうですね\r\nひとつやり遂げた気分ですっ,호와…… 그렇죠\r\n벽 하나를 넘은 기분이에요
でも、うまくお話できなかったところもあって……\r\n次は、もっときちんとできるようになりたいです,"그치만, 말을 잘 못한 부분도 있어서……\r\n다음엔, 좀 더 제대로 할 수 있게 되고 싶어요"
真乃ならきっとできるよ\r\n次はさらに上手くやろう,마노라면 할 수 있어\r\n다음엔 더 잘하자
はい、プロデューサーさん\r\n私頑張ります,"네, 프로듀서님\r\n저 노력할게요"
プロデューサーさん、いいお知らせがありますよ、\r\n前よりもいっぱいお話できました,"프로듀서님, 좋은 소식이에요, \r\n전보다 많이 얘기했어요"
うん、成長が感じられてとても良かった\r\n今回の放送の真乃を見て、全国の人が癒されるだろうな,"응, 성장한 게 느껴져서 정말 좋았어\r\n이번 방송에 나온 마노를 보고, 전국 사람들이 치유받겠지"
ほわっ！\r\nそ、それは……プレッシャーです……,"호와!\r\n그, 그건…… 부담되네요……"
まぁ、気にしても仕方ないから、\r\n今日はゆっくりするといいよ,"뭐, 신경써도 어쩔 수 없으니까, \r\n오늘은 편히 쉬렴"
あの……私、次のテレビ出演に備えて、\r\nもっと上手くしゃべれるようになりたいです,"저기…… 저, 다음 티비 출연에 대비해서, \r\n좀 더 능숙하게 말할 수 있게 되고 싶어요"
だからアドリブの練習ということで、\r\n変な話題を振ってみてくださいっ,"그러니까 애드리브 연습삼아서, \r\n이상한 질문을 해주세요"
え、ええ？\r\n急にそんな話、振られても……,"에, 에에?\r\n갑자기 그런 얘길, 해도……"
プロデューサーさんっ、パッと何か思い浮かびませんか？\r\n私、頑張ってお応えしますっ,"프로듀서님, 딱 떠오르는게 없나요?\r\n저, 최선을 다해 대답할게요"
なんか……俺のアドリブの練習になってないか？,뭔가…… 내 애드리브 연습이 되지 않았어?
ほわ？,호와?
プロデューサー、どうでしたか？,"프로듀서, 어땠나요?"
お疲れ様、灯織\r\n全力でやっていて良かったよ,"수고했어, 히오리\r\n전력으로 노래하던 모습 보기 좋더라"
でも……灯織自身、気になるところも\r\nあったんじゃないか？,"하지만……히오리, 스스로 신경쓰이는 점\r\n있지 않았어?"
……そうですね。単純なミスも多かったと思います\r\n素直に良かったとは言えませんね,……그렇네요. 단순한 미스도 많았던 것 같아요\r\n솔직히 좋았다고는 말 못하겠네요
それじゃあ、事務所に戻ったら反省会だな\r\nどうしたらもっと良くなるか、一緒に考えてみよう,"그럼, 사무소에 돌아가면 반성회 해야겠구나\r\n어떻게 하면 더 잘할 수 있을지, 함께 생각해 보자"
はい。……次こそは、もっといい\r\nパフォーマンスができるよう、頑張ります,"네, ……다음에야말로 더욱 더 좋은\r\n퍼포먼스 낼 수 있게, 열심히 할게요"
プロデューサー、引き続きよろしくお願いします,"프로듀서, 앞으로도 잘 부탁드릴게요"
ふぅ……プロデューサー、\r\n私のパフォーマンス、どうでした？,"후우……프로듀서, \r\n제 퍼포먼스, 어땠나요?"
ああ、すごく良かったぞ！　灯織もそう思っただろ？,물론 정말 좋았지! 히오리도 그렇게 생각하지?
はい……上手く、やれたと思います,네……잘한 거 같다고 느꼈어요
でも、完璧だったわけじゃありません\r\nもっと……もっといいパフォーマンスをしたいです,"하지만, 완벽하지는 않았어요\r\n더……좀 더 좋은 퍼포먼스를 보여주고 싶어요"
ああ、そうだよな,"그래, 그렇구나"
もっといいステージにするためにも、\r\nレッスン頑張っていこうな,"더 나은 스테이지를 보여주기 위해서라도,\r\n레슨 열심히 하자"
はい。まだまだ、上を目指します\r\n引き続き、よろしくお願いします,"네, 더 높은 곳을 목표로 할게요\r\n앞으로도, 잘 부탁드릴게요"
プロデューサー！　見ててくれたっ？,프로듀서! 보고 있었어?
わたしテレビに出ちゃったんだよ！？\r\nすごいよねっ、夢みたい！,나 TV에 나와버렸다구!?\r\n굉장하지! 꿈만같아!
もちろん\r\nめぐるの晴れ舞台、しっかり見てたよ,"물론이지\r\n메구루의 화려한 무대, 제대로 보고 있었다고"
えへへー、嬉しいなぁ！\r\n……あっ、そうだ！　友達にも連絡しなくちゃ！,"에헤헤-, 기쁜걸!\r\n……아, 맞다! 친구들한테 연락해야지!"
みんなきっと喜んでくれると思うぞ,다들 분명 기뻐해줄거야
もっともっとテレビに出られるようになって\r\nたくさん観てもらわないとな,앞으로 더 많이 TV에 나오게 되어서\r\n잔뜩 볼 수 있도록 해야겠는걸
うん！　でもそうなったら、\r\n毎日連絡で大忙しになっちゃうねぇ,"응! 그치만 그렇게되면,\r\n매일 연락하느라 바빠지겠는걸"
出演の度に、友達みんなに連絡するつもりか……？,출연할 때마다 친구 모두에게 연락할 셈이야……?
そうだよ？　あ、でも、いっぱい出るようになったら\r\nさすがに迷惑かなぁ……？　どうだろう……？,"맞아. 아, 그치만 많이 출연하게 된다면\r\n아무래도 민폐인가……? 어떨려나……?"
まぁ、先のことはともかく。今日のところは頑張ったんだ、\r\nみんなにしっかり報告しておけばいい,"뭐, 미래의 일은 나중에 신경쓰자. 오늘은 열심히 했어.\r\n모두에게 확실히 연락해두자"
うんっ！\r\nそうするね！,응!\r\n그렇게할게!
テレビ出演、お疲れ様\r\nよく頑張ったな,TV출연 수고했어.\r\n열심히 힘냈구나
ありがとう、すっごく楽しかったよー！\r\nでもね、まだまだできることがあると思うんだ,고마워. 엄청 즐거웠어-!\r\n그래도 아직 해야할게 있다고 생각해
カメラばっかり意識しちゃうと固まっちゃうし、\r\n次はもっと自然に動けるようになりたくって……,"카메라만 의식해버리면 굳어버려서,\r\n다음엔 더 자연스럽게 움직일 수 있도록 되고 싶어서……"
カメラより、見ててくれる人のことを考えればいいのかな？\r\nそれともカメラを人だと思って……,카메라보다 봐주는 사람을 생각하면 되는걸까?\r\n아니면 카메라를 사람이라고 생각해서……
（もう次に向けての反省をしてるのか）,(벌써 다음을 위해 반성하고 있는 건가)
あっ、そうだ！　連絡……は、あんまりしないって……\r\n……でも、今回は大きいお仕事だったし……いっか！,"앗, 맞다! 연락……은, 그다지 하지 말라고……\r\n……하지만, 이번은 큰 일이었으니까……괜찮나!"
（……と思ったそばから友達に連絡をし始めるのは、\r\n本当にめぐるらしい）,"( ……라고 생각하자마자 친구에게 연락하기 시작하는 건,\r\n정말 메구루답네 )"
うん！　じゃあまた！　……あれ？　プロデューサー\r\n笑ってるけどどうかしたの？,응! 그럼 다음에! ……어라? 프로듀서\r\n웃고 있는데 왜 그래?
いや、めぐるも成長したなと思って,"아니, 메구루도 성장했구나 싶어서"
プロデューサーもそう思ってくれてるの？\r\n最近友達にも言われて嬉しかったんだ！,프로듀서도 그렇게 생각해? \r\n최근에친구들한테도 들어서 기뻤었어!
……そうやって応援してくれる人たちのために、\r\nもっともっと頑張らなきゃいけないよね！,"…… 그렇게 응원해 주는 사람들을 위해서, \r\n더더욱 노력해야겠지!"
あっ、プロデューサー！\r\n来てくれたんやね！,"앗, 프로듀서! \r\n와있었던 거구마!"
ああ、お疲れ様\r\n収録はどうだった？,"그래, 수고했어\r\n수록은 어땠어?"
うん！　カメラも芸能人もいっぱいで\r\nばーり楽しかったとよ～！,응! 카메라도 연예인도 잔뜩이라\r\n겁ー나 재밌었던 거구마~!
出演してるみんな、歌もダンスも\r\nそのうえおしゃべりも上手でびっくりしたばい～,"출연하고 있는 모두, 노래도 댄스도\r\n게다가 수다도 능숙해가꼬 깜짝 놀랐어야~"
そうか、楽しめたみたいで何よりだ,"그런가, 즐거웠던 것 같아서 다행이야"
ばってん……うちは普段のライブと勝手がちがって\r\nちょっと本領発揮できんかったかも……,그른디…… 내는 평소의 라이브랑 사정이 달라가꼬\r\n쪼까 실력을 발휘 못혔을 지도……
うちにアイドルさせたら\r\n右に出るもんはおらん！　って思っとったけど……,내헌티 아이돌을 시키믄\r\n내보다 잘난 놈은 없구마! 하고 생각허고 있었는디……
アイドルの世界は広かー……\r\n早くどこでもよか仕事ができるように頑張らんとね！,아이돌의 세계는 넓구마ー……\r\n빨리 어디서든 좋은 일을 할 수 있도록 열심히 혀야것제!
ああ、そうだな\r\nたくさん経験を積んで次こそ本領発揮だ,"맞아, 그렇지\r\n잔뜩 경험을 쌓아서 다음에야말로 본 실력을 발휘하자"
うん！　今度はうちの真のパフォーマンスを\r\nテレビの前のみんなに見てもらうばい！,응! 다음엔 내 진정한 퍼포먼스를\r\nTV의 앞의 모두에게 보여줄거구마!
プロデューサー！\r\nうち、どうやったー！？,"프로듀서! \r\n내, 어땠당가―!?"
ああ、恋鐘のいいところが存分に出ていたと思うぞ,"응, 코가네의 장점이 충분히 드러났다고 생각해"
んふふー！　やろー？\r\nうちも今回、楽しくて仕方なかったばい！,"응후후ー! 그라제―?\r\n내도 이번엔, 즐거워서 어쩔 수 없었구마!"
ばってん、ダンスん時よかとこで転んだんよね……\r\n次は気をつけんばいかんねー！,"그런디, 댄스 중 좋을 때에 넘어져부러서……\r\n다음은 조심해야것제ー!"
（そういった前のめりな失敗も好評なんだけどな……）,( 그렇게 말한 저번의 어처구니 없는 실패도 호평이었지만 말야…… )
まぁ、小さいことは気にせずこれからも頑張ろうな,"뭐, 자잘한 건 신경쓰지 말고 앞으로도 열심히 하자"
うん！　失敗してもその後に\r\nそれ以上のパフォーマンスを見せればよかもんね！,응! 실패해도 그 다음에\r\n그 이상의 퍼포먼스를 보이면 되니까 말여!
