name,trans
ルームウェア。トオル、最後の戦い,"룸웨어. 토오루, 최후의 싸움"
【ファウンテンサマー】樋口 円香,【파운틴 서머】 히구치 마도카
スプラッシュ！　困らせないで？ PURE MINT,스플래시! 곤란하게 하지 마? PURE MINT
【ファウンテンサマー】福丸 小糸,【파운틴 서머】 후쿠마루 코이토
スプラッシュ！　絶唱マーメイド,스플래시! 절창 머메이드
【ファウンテンサマー】市川 雛菜,【파운틴 서머】 이치카와 히나나
スプラッシュ！　真夏のきせかえ人形,스플래시! 한여름의 옷 갈아입는 인형
【ファウンテンサマー】七草 にちか,【파운틴 서머】 나나쿠사 니치카
スプラッシュ！　恋しらずのボレロ,스플래시! 사랑을 모르는 볼레로
【ファウンテンサマー】緋田 美琴,【파운틴 서머】 아케타 미코토
スプラッシュ！　soak up the rays,스플래시! soak up the rays
